id,Year,Quarter,Total_CPI,CPI_Trim,CPI_Median,CPI_Common,Month_1,Month_2,Month_3,,
inf_001,2013,3,1.1,1.2,1.6,1.2,7,8,9,,
inf_002,2013,4,0.9,1.3,1.5,1.1,10,11,12,,
inf_003,2014,1,1.4,1.5,1.6,1.3,1,2,3,,
inf_004,2014,2,2.2,1.7,1.8,1.4,4,5,6,,
inf_005,2014,3,2,1.7,1.7,1.4,7,8,9,,
inf_006,2014,4,2,1.7,1.8,1.6,10,11,12,,
inf_007,2015,1,1,1.6,1.8,1.7,1,2,3,,
inf_008,2015,2,1,1.5,1.6,1.8,4,5,6,,
inf_009,2015,3,1.2,1.6,1.8,1.9,7,8,9,,
inf_010,2015,4,1.3,1.8,2,2,10,11,12,,
inf_011,2016,1,1.6,1.8,2,2,1,2,3,,
inf_012,2016,2,1.5,2,2.1,1.8,4,5,6,,
inf_013,2016,3,1.3,1.9,2,1.6,7,8,9,,
inf_014,2016,4,1.4,1.7,1.9,1.3,10,11,12,,
inf_015,2017,1,1.9,1.5,1.8,1.2,1,2,3,,
inf_016,2017,2,1.3,1.2,1.6,1,4,5,6,,
inf_017,2017,3,1.4,1.4,1.6,1.2,7,8,9,,
inf_018,2017,4,1.8,1.6,1.6,1.4,10,11,12,,
inf_019,2018,1,2.1,1.9,1.8,1.7,1,2,3,,
inf_020,2018,2,2.3,1.9,1.8,1.8,4,5,6,,
inf_021,2018,3,2.7,2,1.9,1.9,7,8,9,,
inf_022,2018,4,2.1,1.9,1.8,1.8,10,11,12,,
inf_023,2019,1,1.6,2,1.9,1.9,1,2,3,,
inf_024,2019,2,2.2,2.1,2,2.1,4,5,6,,
inf_025,2019,3,1.9,2,1.9,2.2,7,8,9,,
inf_026,2019,4,2.1,2,2,2.4,10,11,12,,
inf_027,2020,1,1.8,1.9,1.9,2,1,2,3,,
inf_028,2020,2,0,1.7,1.8,1.4,4,5,6,,
inf_029,2020,3,0.2,1.7,1.8,1.3,7,8,9,,
inf_030,2020,4,0.7,1.8,2,1.5,10,11,12,,
inf_031,2021,1,1.5,2,2.1,1.7,1,2,3,,
inf_032,2021,2,3.4,2.5,2.5,2.5,4,5,6,,
inf_033,2021,3,4.1,3.3,2.9,3.1,7,8,9,,
inf_034,2021,4,4.7,3.6,3,3.3,10,11,12,,
inf_035,2022,1,5.8,4.5,3.8,4.4,1,2,3,,
inf_036,2022,2,7.5,5.4,4.8,5.8,4,5,6,,
inf_037,2022,3,7.2,5.5,5.1,6.3,7,8,9,,
inf_038,2022,4,6.7,5.4,5.2,6.5,10,11,12,,
inf_039,2023,1,5.2,4.8,4.8,6.2,1,2,3,,
